Activity,Sectors,DistinctProjects
 Food safety certification,"Industry, Trade & Services",1
 Food safety improvement,Public Administration,1
 Forecasting system upgrade,"Water, Sanitation & Waste Management",1
 Foreign investment promotion,Transportation,1
 Forest management,"Agriculture, Fishing & Forestry",1
 Forest management planning,"Agriculture, Fishing & Forestry",1
 Forest restoration,"Agriculture, Fishing & Forestry",1
 Fuel subsidy removal,Public Administration,1
 Funding mobilization,Social Protection,1
 GBV awareness,Health,1
 GBV prevention,Education,1
 GBV referral,Social Protection,1
 GBV response coordination,Health,1
 GBV service delivery,Health,1
 GBV services,Health,1
 GBV support services,Public Administration,1
 GBV training,Health,2
 GBV/SH training,Transportation,1
 Gender budgeting implementation,Public Administration,1
 Gender data collection,Public Administration,1
 Gender employment promotion,Transportation,1
 Gender inclusion,"Agriculture, Fishing & Forestry",1
 Gender inclusion,"Water, Sanitation & Waste Management",1
 Gender inclusion initiatives,Energy & Extractives,1
 Gender inclusion initiatives,Transportation,1
 Gender inclusion measures,"Agriculture, Fishing & Forestry",1
 Gender inclusion measures,Transportation,1
 Gender inclusion programs,"Industry, Trade & Services",1
 Gender mainstreaming,Energy & Extractives,1
 Gender mainstreaming,Transportation,1
 Gender-inclusive design,Transportation,1
 Gender-inclusive financing,Financial Sector,1
 Gender-inclusive outreach,"Water, Sanitation & Waste Management",1
 Gender-inclusive procurement,Transportation,1
 Gender-inclusive registration,Public Administration,1
 Gender-responsive interventions,Transportation,1
 Generation capacity construction,Energy & Extractives,1
 Generation capacity rehabilitation,Energy & Extractives,1
 Generic prescribing promotion,Health,1
 Geospatial infrastructure expansion,Public Administration,1
 GHG reduction measures,Transportation,1
 Good agricultural practices,Public Administration,1
 Governance reforms,Energy & Extractives,1
 Governance strengthening,"Agriculture, Fishing & Forestry",1
 Governance strengthening,Education,1
 Government capacity building,"Water, Sanitation & Waste Management",1
 Government connectivity,Information & Communications Technologies,1
 Government program reform,Financial Sector,1
 Government service digitization,Social Protection,1
 Government staff training,Education,1
 Grant financing,"Agriculture, Fishing & Forestry",1
 Grant programs,"Industry, Trade & Services",1
 Green bond financing,"Water, Sanitation & Waste Management",1
 Green bond issuance,"Industry, Trade & Services",1
 Green bond promotion,Financial Sector,1
 Green building certification,"Industry, Trade & Services",1
 Green certification,"Water, Sanitation & Waste Management",1
 Green finance mobilization,"Industry, Trade & Services",1
 Green finance mobilization,"Water, Sanitation & Waste Management",1
 Green finance promotion,"Water, Sanitation & Waste Management",1
 Green fund establishment,Financial Sector,1
 Green hydrogen incentives,"Industry, Trade & Services",1
 Green infrastructure,Public Administration,1
 Green investment mobilization,Energy & Extractives,1
 Green investment screening,Transportation,1
 Green jobs promotion,Education,1
 Green path construction,"Water, Sanitation & Waste Management",1
 Green procurement,Public Administration,1
 Green space development,Energy & Extractives,1
 Green space rehabilitation,Public Administration,1
 Green taxonomy adoption,Transportation,1
 Green technology deployment,Transportation,1
 Grid automation deployment,Energy & Extractives,1
 Grid automation installation,Energy & Extractives,1
 Grid capacity expansion,Energy & Extractives,2
 Grid capacity upgrade,Energy & Extractives,1
 Grid connection,Energy & Extractives,1
 Grid connection construction,Energy & Extractives,1
 Grid connection support,Public Administration,1
 Grid connection works,Energy & Extractives,1
 Grid expansion,Energy & Extractives,1
 Grid extension,Energy & Extractives,1
 Grid integration,Energy & Extractives,1
 Grid integration improvement,Energy & Extractives,1
 Grid maintenance,Energy & Extractives,1
 Grid modernization,Energy & Extractives,1
 Grid upgrade,Energy & Extractives,1
 Grievance handling,Social Protection,1
 Grievance management,"Agriculture, Fishing & Forestry",1
 Grievance mechanisms,Education,1
 Grievance redress,"Water, Sanitation & Waste Management",2
 Grievance redress improvement,Health,1
 Grievance redress upgrade,"Water, Sanitation & Waste Management",1
 Groundwater monitoring,"Water, Sanitation & Waste Management",1
 Growth monitoring,Health,1
 Guardrail installation,Transportation,1
 Guideline development,"Industry, Trade & Services",1
 Hazardous waste registry,"Water, Sanitation & Waste Management",1
 Health cost subsidies,Health,1
 Health costing system,Public Administration,1
 Health coverage expansion,Public Administration,1
 Health data monitoring,Health,1
 Health data standards,Health,1
 Health facility mapping,Health,1
 Health facility quality improvement,Public Administration,1
 Health financing reform,Health,1
 Health information system implementation,Health,1
 Health information systems,Health,1
 Health insurance enrollment,Health,1
 Health insurance expansion,Health,1
 Health insurance rollout,"Water, Sanitation & Waste Management",1
 Health network strengthening,Public Administration,1
 Health policy reform,Health,1
 Health screening programs,Health,1
 Health screenings,Health,1
 Health sector arrears reduction,Public Administration,1
 Health service optimization,Public Administration,1
 Health service subsidies,Health,1
 Health services,Public Administration,1
 Health services digitalization,Health,1
 Health services funding,Public Administration,1
 Health system integration,Health,1
 Health waste management,Health,1
 Health worker deployment,Health,1
 Health worker training,Health,1
 Health worker vaccination,Health,1
 Health workforce reserve,Health,1
 Healthcare worker training,Health,1
 Heat substation installation,Energy & Extractives,1
 Helpline setup,Transportation,1
 High-value agriculture promotion,"Industry, Trade & Services",1
 Highway management modernization,Transportation,1
 HIV screening,Health,1
 Home care services,Public Administration,1
 Homeownership assistance,"Industry, Trade & Services",1
 Hospital accreditation support,Health,1
 Hospital capacity expansion,Public Administration,1
 Hospital equipment procurement,Health,1
 Hospital equipment provision,Health,1
 Hospital upgrading,Health,1
 Hotel construction,"Industry, Trade & Services",1
 Hotline operation,Public Administration,1
 Household connection installation,"Water, Sanitation & Waste Management",1
 Household connections,Energy & Extractives,1
 Household grants,Energy & Extractives,1
 Household sewer connections,"Water, Sanitation & Waste Management",1
 Household subscription promotion,Information & Communications Technologies,1
 Household water connections,"Water, Sanitation & Waste Management",1
 Housing reconstruction,Public Administration,1
 Housing reconstruction support,"Industry, Trade & Services",1
 Housing retrofitting,Public Administration,1
 Housing subsidies,Public Administration,1
 Housing upgrades,"Water, Sanitation & Waste Management",1
 HPV vaccination,Public Administration,1
 HTA development,Health,1
 Hygiene education,"Water, Sanitation & Waste Management",1
 Hygiene kit distribution,Health,1
 Hygiene promotion training,"Water, Sanitation & Waste Management",1
 ICT center deployment,Information & Communications Technologies,1
 ICT equipment procurement,Education,1
 ICT infrastructure installation,Transportation,1
 ICT infrastructure upgrade,Public Administration,1
 ICT integration,Education,1
 ICT teacher training,Education,1
 ICU capacity expansion,Health,2
 ICU capacity strengthening,Health,1
 ICU equipment procurement,Health,2
 ID enrollment campaigns,Public Administration,1
 IFA supplementation,Social Protection,1
 IFMIS implementation,Public Administration,1
 IFMIS rollout,Public Administration,1
 Immunization campaigns,Health,1
 Immunization data tracking,Health,1
 Immunization services,Health,1
 Impact assessment,Public Administration,1
 Implementation planning,Education,1
 Import risk management controls,Public Administration,1
 Import tariff reduction,Public Administration,1
 Incentive program,Transportation,1
 Inclusive education training,Education,1
 Inclusive employment,Transportation,1
 Inclusive housing pilot,"Industry, Trade & Services",1
 Inclusive sanitation facilities,"Water, Sanitation & Waste Management",1
 Incubation programs,"Industry, Trade & Services",1
 Index implementation,Public Administration,1
 Indicator development,Public Administration,2
 Individual action planning,Social Protection,1
 Individual action plans,Social Protection,1
 Industrial emissions standards,Transportation,1
 Industrial process retrofits,"Industry, Trade & Services",1
 Industry collaboration,"Industry, Trade & Services",1
 Industry partnerships,Education,1
 Infection control supplies,Health,1
 Infection control training,Health,1
 Information access,Public Administration,1
 Information hub setup,"Industry, Trade & Services",1
 Information products development,"Water, Sanitation & Waste Management",1
 Information security compliance,Social Protection,1
 Information system deployment,Social Protection,1
 Information system development,"Agriculture, Fishing & Forestry",1
 Information system strengthening,Health,1
 Information system upgrades,Public Administration,1
 Infrastructure commissioning,Transportation,1
 Infrastructure construction,"Agriculture, Fishing & Forestry",1
 Infrastructure mapping,Public Administration,1
 Infrastructure modernization,"Agriculture, Fishing & Forestry",1
 Infrastructure planning support,Education,1
 Infrastructure rehabilitation,Social Protection,1
 Infrastructure retrofitting,Public Administration,1
 Innovation grants,"Industry, Trade & Services",1
 Innovation support,Public Administration,1
 Innovative energy applications,Energy & Extractives,1
 Input distribution,Transportation,1
 Input provision,Public Administration,1
 Input subsidies,"Industry, Trade & Services",1
 Institutional capacity building,Transportation,1
 Institutional capacity building,"Water, Sanitation & Waste Management",1
 Institutional coordination,"Water, Sanitation & Waste Management",1
 Institutional development,Social Protection,1
 Institutional grants,Education,1
 Institutional reform,"Agriculture, Fishing & Forestry",1
 Institutional reforms,"Agriculture, Fishing & Forestry",1
 Institutional strengthening,Energy & Extractives,1
 Institutional strengthening,Public Administration,1
 Instructional coaching,Education,1
 Insurance coverage expansion,"Water, Sanitation & Waste Management",1
 Insurance enrollment,Social Protection,1
 Intake registration,Social Protection,1
 Integrated pest management,Public Administration,1
 Integrated pest management,"Water, Sanitation & Waste Management",1
 Integrated resource management,Public Administration,1
 Integrated water management,"Water, Sanitation & Waste Management",1
 Interceptor construction,"Water, Sanitation & Waste Management",1
 Interchange construction,Transportation,1
 Intercommunity infrastructure,Social Protection,1
 Interest subsidies,Financial Sector,1
 Internal audit strengthening,Public Administration,1
 Internet service upgrade,Information & Communications Technologies,1
 Internship programs,Social Protection,1
 Interoperability integration,Public Administration,1
 Investment facilitation,"Industry, Trade & Services",1
 Investment financing,Energy & Extractives,1
 Investment financing,Financial Sector,1
 Investment framework development,Financial Sector,1
 Investment fund financing,"Agriculture, Fishing & Forestry",1
 Investment incentives,Public Administration,1
 Investment methodology adoption,Public Administration,1
 Investment mobilization,Public Administration,1
 Investment mobilization,Social Protection,1
 Investment portfolio review,Public Administration,1
 Investment project appraisal,Public Administration,1
 Investment project registry,Public Administration,1
 Investment promotion,"Industry, Trade & Services",1
 Investment readiness support,"Industry, Trade & Services",1
 IPSAS adoption,Public Administration,1
 Irrigation and drainage,"Agriculture, Fishing & Forestry",1
 Irrigation improvement,"Industry, Trade & Services",1
 Irrigation infrastructure upgrade,"Water, Sanitation & Waste Management",1
 Irrigation modernization,"Agriculture, Fishing & Forestry",1
 Irrigation technology deployment,"Agriculture, Fishing & Forestry",1
 Irrigation upgrades,"Agriculture, Fishing & Forestry",1
 Isolation capacity expansion,Health,1
 Isolation facility setup,Health,1
 IT equipment procurement,Education,1
 IT maintenance support,Public Administration,1
 IT system deployment,Public Administration,1
 IT system development,"Agriculture, Fishing & Forestry",1
 Jetty and wharf upgrading,Transportation,1
 Jetty construction,Transportation,1
 Job creation,Transportation,1
 Job creation support,Social Protection,1
 Job matching,Social Protection,1
 Job placement,Social Protection,1
 Job placement services,Social Protection,1
 Job placement support,Education,2
 Job portal enhancement,Social Protection,1
 Job portal registration,Social Protection,1
 Job retention support,Social Protection,1
 Job support services,Social Protection,1
 Job training,Social Protection,1
 Jobseeker profiling,Social Protection,1
 Justice sector efficiency,Public Administration,1
 Justice sector reform,Public Administration,1
 Knowledge dissemination,Public Administration,1
 Knowledge exchange,Public Administration,1
 Knowledge product development,Public Administration,1
 Labor exchange staffing,Social Protection,1
 Labor market alignment,Education,1
 Labor market programs,Social Protection,1
 Laboratory capacity building,Health,1
 Laboratory capacity strengthening,Health,1
 Laboratory diagnostics,Health,1
 Laboratory equipment procurement,Health,1
 Laboratory strengthening,"Water, Sanitation & Waste Management",1
 Laboratory testing,Health,1
 Land administration reform,"Water, Sanitation & Waste Management",1
 Land and site preparation,Energy & Extractives,1
 Land cadaster mapping,Public Administration,1
 Land information system,"Agriculture, Fishing & Forestry",1
 Land management planning,"Agriculture, Fishing & Forestry",1
 Land registration,Public Administration,1
 Land registration modernization,Public Administration,1
 Land regularization,"Water, Sanitation & Waste Management",1
 Land remediation,Public Administration,1
 Land restoration,Transportation,1
 Land restoration,"Water, Sanitation & Waste Management",1
 Land rights verification,Public Administration,1
 Land surveying,"Agriculture, Fishing & Forestry",1
 Land titling,Public Administration,1
 Land use planning,Public Administration,1
 Landfill development,"Water, Sanitation & Waste Management",1
 Landfill gas system installation,"Water, Sanitation & Waste Management",1
 Landscape planning,Public Administration,1
 Landslide risk reduction,"Water, Sanitation & Waste Management",1
 Land-use data integration,Public Administration,1
 Land-use planning,"Industry, Trade & Services",1
 Law enforcement support,Transportation,1
 Leak detection,"Water, Sanitation & Waste Management",1
 Leak detection and repair,"Water, Sanitation & Waste Management",2
 Leak reduction,"Water, Sanitation & Waste Management",1
 Learning assessment,Education,1
 Learning assessment systems,Education,1
 Learning assessments,Education,2
 Learning enhancement programs,Education,1
 Learning environment improvement,Education,1
 Learning interventions,Education,1
 Learning materials distribution,Education,1
 Learning materials provision,Social Protection,1
 Learning support,Social Protection,1
 Learning support interventions,Education,1
 Learning support programs,Education,2
 LED streetlight installation,Energy & Extractives,1
 Level crossing upgrades,Transportation,1
 Life skills training,Health,1
 Livelihood diversification,Public Administration,2
 Livelihood support,"Agriculture, Fishing & Forestry",1
 Livelihood support,Social Protection,1
 Livelihood support programs,"Water, Sanitation & Waste Management",1
 Livestock support,"Agriculture, Fishing & Forestry",1
 Livestock water supply,"Water, Sanitation & Waste Management",1
 LMS platform deployment,Public Administration,1
 Loan financing,Energy & Extractives,1
 Loan guarantees,Financial Sector,1
 Local labor hiring,Transportation,1
 Logistics management,Health,1
 Logistics terminal development,Transportation,1
 Long-term lending,Financial Sector,1
 Long-term lending support,Financial Sector,1
 Loss reduction,Energy & Extractives,1
 Loss reduction measures,Energy & Extractives,2
 Loss reduction program,Energy & Extractives,1
 Maintenance financing improvement,Transportation,1
 Maintenance improvement,Transportation,1
 Maintenance planning,Public Administration,1
 Maintenance strengthening,Energy & Extractives,1
 Maintenance support,"Water, Sanitation & Waste Management",1
 Maintenance training,Transportation,1
 Management capacity building,Education,1
 Management plan development,"Agriculture, Fishing & Forestry",1
 Management training,Health,1
 Manure management,"Industry, Trade & Services",1
 Manure treatment,"Agriculture, Fishing & Forestry",1
 Marine protected area designation,Public Administration,1
 Market access facilitation,Public Administration,1
 Market access improvement,Transportation,1
 Market access support,"Industry, Trade & Services",2
 Market certification,Energy & Extractives,1
 Market development,Financial Sector,1
 Market linkage facilitation,"Industry, Trade & Services",1
 Market linkage support,"Water, Sanitation & Waste Management",1
 Market linkages development,"Industry, Trade & Services",1
 Market platform implementation,Energy & Extractives,1
 Market services provision,"Industry, Trade & Services",1
 Marketing training,"Industry, Trade & Services",1
 Matching grants,"Agriculture, Fishing & Forestry",1
 Maternal care services,Health,1
 Maternal health screening,Health,1
 Maternal health services,Health,1
 MCH service improvement,Public Administration,1
 Medical equipment procurement,Health,1
 Medical waste management,Health,1
 Medicine subsidies,Health,1
 Medicines procurement,Health,1
 Medium-term budgeting,Public Administration,1
 Menstrual hygiene education,"Water, Sanitation & Waste Management",1
 Menstrual hygiene support,Health,1
 Mental health screening,Health,1
 Mental health services,Health,1
 Mental health support,Health,1
 Merchant e-money adoption,"Water, Sanitation & Waste Management",1
 Meter installation,"Water, Sanitation & Waste Management",1
 Metering and billing,Energy & Extractives,1
 Metro civil works,Transportation,1
 MHM facilities provision,Education,1
 Microenterprise financing,"Industry, Trade & Services",1
 Microfinance lending,Financial Sector,1
 Microloan access,Social Protection,1
 Microproject implementation,Social Protection,1
 Migrant enrollment capacity,Health,1
 Mini-grid deployment,Energy & Extractives,1
 MIS development,Social Protection,1
 Mixed-species planting,"Agriculture, Fishing & Forestry",1
 Mobile app rollout,Social Protection,1
 Mobile health services,"Water, Sanitation & Waste Management",1
 Mobile screening services,Health,1
 Mobile service delivery,Public Administration,1
 Modal shift promotion,Transportation,1
 Monitoring and evaluation,Education,1
 Monitoring and evaluation,Social Protection,1
 Monitoring and verification,Energy & Extractives,1
 Monitoring standards adoption,Public Administration,1
 Monitoring stations operation,"Water, Sanitation & Waste Management",1
 Monitoring surveys,Public Administration,1
 Monitoring system deployment,"Agriculture, Fishing & Forestry",1
 Monitoring system development,"Agriculture, Fishing & Forestry",1
 Monitoring systems,Public Administration,1
 MRV system setup,Public Administration,1
 MSME business networks,Public Administration,1
 MSME capacity building,Transportation,1
 MSME lending,Financial Sector,1
 MSME loan facilitation,Financial Sector,1
 MSME sub-loans,Financial Sector,1
 MSME support,"Water, Sanitation & Waste Management",1
 MSME training,Financial Sector,1
 Municipal audits,Public Administration,1
 Municipal facility upgrades,Energy & Extractives,1
 Municipal planning capacity,"Water, Sanitation & Waste Management",1
 Municipal water planning,"Water, Sanitation & Waste Management",1
 Natural resource management,Public Administration,1
 Natural resource management planning,"Water, Sanitation & Waste Management",1
 Navigation channel dredging,Transportation,1
 Navigation improvement,"Water, Sanitation & Waste Management",1
 Navigation system upgrades,Transportation,1
 Navigational aids installation,Transportation,1
 NCD management,Health,1
 Needs assessments,Social Protection,1
 Neighborhood rehabilitation,Public Administration,1
 Network capacity expansion,Transportation,1
 Network connectivity,Health,1
 Network expansion,Public Administration,1
 Network infrastructure installation,Public Administration,1
 Network rehabilitation,"Water, Sanitation & Waste Management",1
 Network reliability improvement,"Water, Sanitation & Waste Management",1
 Network resilience strengthening,Information & Communications Technologies,1
 Network upgrades,Public Administration,1
 Network upgrades,"Water, Sanitation & Waste Management",1
 New electricity connections,Energy & Extractives,1
 New household connections,"Water, Sanitation & Waste Management",1
 New service connections,Energy & Extractives,1
 NMT infrastructure upgrades,Transportation,1
 Non-motorized transport,Public Administration,1
 Non-revenue water reduction,"Water, Sanitation & Waste Management",2
 Nursery capacity building,"Water, Sanitation & Waste Management",1
 Nutrition counseling,Social Protection,1
 Nutrition education,"Industry, Trade & Services",1
 Nutrition education,Public Administration,1
 Nutrition services,Health,1
 Oil revenue safeguarding,Public Administration,1
 Oil sector taxation,Public Administration,1
 One-stop service delivery,Social Protection,1
 On-farm water management training,"Agriculture, Fishing & Forestry",1
 Online filing systems,Public Administration,1
 Online portal deployment,Public Administration,1
 Online service delivery,Public Administration,1
 Online service rollout,Public Administration,1
 On-the-job training,Social Protection,1
 Open data portal,Transportation,1
 Open data publication,Public Administration,1
 Operational efficiency improvement,Energy & Extractives,1
 Operational performance improvement,Transportation,1
 Operations and maintenance,"Water, Sanitation & Waste Management",1
 Operations and maintenance improvement,"Water, Sanitation & Waste Management",1
 Operations and maintenance training,"Agriculture, Fishing & Forestry",1
 Operations improvement,"Water, Sanitation & Waste Management",1
 Operations planning,Transportation,1
 Organizational restructuring,Transportation,1
 Organizational strengthening,"Industry, Trade & Services",1
 Outreach campaigns,Energy & Extractives,1
 Overseas scholarships,Education,1
 Palliative care training,Health,1
 Parent engagement,Education,1
 Parenting education,Social Protection,1
 Park construction,"Water, Sanitation & Waste Management",1
 Partial credit guarantees,Financial Sector,1
 Participatory planning,Social Protection,1
 Participatory planning,"Water, Sanitation & Waste Management",1
 Participatory planning support,Public Administration,1
 Partnership agreements,Social Protection,1
 Partnership facilitation,"Industry, Trade & Services",1
 Pathogen detection strengthening,Health,1
 Patient experience monitoring,Health,1
 Patient management systems,Health,1
 Patient record digitization,Health,1
 Patient registry rollout,Health,1
 Patient satisfaction monitoring,Health,1
 Patient treatment support,Health,1
 Pavement maintenance,Transportation,1
 Pavement resurfacing,Transportation,1
 Payment account setup,Social Protection,1
 Payroll system standardization,Public Administration,1
 Pedestrian and bicycle infrastructure,"Water, Sanitation & Waste Management",1
 Pedestrian and bike lane construction,Public Administration,1
 Pedestrian infrastructure,Transportation,1
 Pedestrian infrastructure rehabilitation,Transportation,1
 Pedestrian safety improvements,Transportation,1
 Pension coverage expansion,Public Administration,1
 Pension ESG integration,Financial Sector,1
 Pension payments,Public Administration,1
 Performance grants provision,Public Administration,1
 Performance monitoring,Public Administration,1
 Performance monitoring,"Water, Sanitation & Waste Management",1
 Performance monitoring systems,Public Administration,1
 Performance-based contracting,Transportation,1
 Performance-based contracts,Education,1
 Performance-based financing,Public Administration,1
 Performance-based grants,Education,1
 Performance-based incentives,Health,1
 Performance-based transfers,Public Administration,1
 Permanent cash transfers,Social Protection,1
 PFI capacity building,Financial Sector,1
 PFI credit lines,Financial Sector,1
 PFM reform support,Public Administration,1
 PFM system integration,Public Administration,1
 PHC coverage expansion,Health,1
 Pilot projects,"Industry, Trade & Services",1
 PIM system implementation,Public Administration,1
 Pipe replacement,"Water, Sanitation & Waste Management",1
 Piped connection installation,"Water, Sanitation & Waste Management",1
 Pipeline insulation,Energy & Extractives,1
 Pipeline laying,"Water, Sanitation & Waste Management",1
 Pipeline network expansion,"Water, Sanitation & Waste Management",1
 Pipeline rehabilitation,"Water, Sanitation & Waste Management",1
 Pipeline upgrade,"Water, Sanitation & Waste Management",1
 Planning capacity building,Transportation,1
 Planning tool development,Public Administration,1
 Plant upgrade,"Water, Sanitation & Waste Management",1
 Plantation establishment,Transportation,1
 Plastic pollution control,"Water, Sanitation & Waste Management",1
 Plastic recycling,Public Administration,1
 Platform deployment,Social Protection,1
 Platform development,Social Protection,1
 Policy advocacy,Social Protection,1
 Policy analysis,Health,1
 Policy and coordination,"Water, Sanitation & Waste Management",1
 Policy development,"Water, Sanitation & Waste Management",1
 Policy dissemination,Public Administration,1
 Policy framework strengthening,"Water, Sanitation & Waste Management",1
 Policy implementation,Public Administration,1
 Policy integration,Public Administration,1
 Policy recommendations,Public Administration,1
 Policy reform,"Water, Sanitation & Waste Management",1
 Policy reform support,Education,1
 Policy reforms,Social Protection,1
 Policy reforms,Transportation,1
 Policy research,Public Administration,1
 Policy seminars,Public Administration,1
 Policy support,Energy & Extractives,1
 Policy tool development,"Agriculture, Fishing & Forestry",1
 Pollution control equipment,"Industry, Trade & Services",1
 Pollution monitoring,Public Administration,1
 Pollution pathway mitigation,"Water, Sanitation & Waste Management",1
 Pooled procurement implementation,Health,1
 Population enrollment,Health,1
 Port infrastructure upgrade,"Water, Sanitation & Waste Management",1
 Portal and mobile development,Public Administration,1
 Portal development,Public Administration,1
 Post-placement support,Education,1
 Power distribution lines construction,Energy & Extractives,1
 Power generation equipment,Health,1
 PPE distribution,"Water, Sanitation & Waste Management",1
 PPE procurement,Health,1
 PPE provision,Health,1
 PPP capacity building,"Water, Sanitation & Waste Management",1
 Pregnancy screening,Health,1
 Preschool construction,Public Administration,1
 Pricing reform pilots,Energy & Extractives,1
 Primary care expansion,Health,1
 Primary care strengthening,Health,1
 Primary care strengthening,Social Protection,1
 Primary healthcare expansion,Public Administration,1
 Private capital mobilization,Information & Communications Technologies,1
 Private investment mobilization,Energy & Extractives,1
 Private investment mobilization,"Water, Sanitation & Waste Management",1
 Private sector partnerships,Financial Sector,1
 Process automation,Public Administration,1
 Process digitization,Public Administration,1
 Process mapping,Public Administration,1
 Process reengineering,Public Administration,1
 Process standardization,Public Administration,1
 Process streamlining,Public Administration,1
 Processing training,Transportation,1
 Procurement management,Transportation,1
 Procurement regulations update,Public Administration,1
 Producer collective strengthening,"Industry, Trade & Services",1
 Producer organization strengthening,Social Protection,1
 Product certification labeling,"Agriculture, Fishing & Forestry",1
 Product certification support,"Industry, Trade & Services",1
 Product development support,"Industry, Trade & Services",1
 Product innovation,"Industry, Trade & Services",1
 Professional certification,"Water, Sanitation & Waste Management",1
 Program expansion,Education,1
 Program implementation,Education,1
 Program monitoring,Public Administration,1
 Program scale up,Social Protection,1
 Program scale-up support,Education,1
 Program system integration,Social Protection,1
 Program-based budgeting,Public Administration,1
 Project commissioning,Energy & Extractives,1
 Project management setup,Energy & Extractives,1
 Project preparation support,Transportation,1
 Project results monitoring,Energy & Extractives,1
 Property GIS mapping,Public Administration,1
 Property legal documentation,Public Administration,1
 Property tax digitization,Public Administration,1
 Property valuation mapping,Public Administration,1
 Property verification,Public Administration,1
 Pro-poor connections,"Water, Sanitation & Waste Management",1
 Protected area management,Social Protection,1
 Protected area monitoring,"Agriculture, Fishing & Forestry",1
 Protection system upgrades,Energy & Extractives,1
 Protocol implementation,Health,1
 Prototype development,Public Administration,1
 Provider accreditation,Health,1
 Public awareness,Public Administration,1
 Public awareness campaign,Health,1
 Public awareness campaigns,Health,1
 Public awareness campaigns,"Water, Sanitation & Waste Management",1
 Public building reconstruction,"Water, Sanitation & Waste Management",1
 Public consultation,Transportation,1
 Public disclosure,"Water, Sanitation & Waste Management",1
 Public facility rehabilitation,"Industry, Trade & Services",1
 Public facility upgrades,Energy & Extractives,1
 Public finance reforms,Public Administration,1
 Public finance strengthening,Public Administration,1
 Public financial management,Public Administration,2
 Public financial management reform,Public Administration,1
 Public health capacity building,Social Protection,1
 Public investment planning,"Water, Sanitation & Waste Management",1
 Public outreach,Public Administration,1
 Public procurement reform,Transportation,1
 Public space development,"Water, Sanitation & Waste Management",1
 Public space improvement,Public Administration,1
 Public space rehabilitation,Public Administration,1
 Public space upgrades,Social Protection,1
 Public space upgrading,Public Administration,1
 Public transport improvement,"Water, Sanitation & Waste Management",1
 Public-private partnership development,"Industry, Trade & Services",1
 Pumping station rehabilitation,"Water, Sanitation & Waste Management",1
 Quality accreditation,Health,1
 Quality assurance strengthening,Education,1
 Quality certification,"Water, Sanitation & Waste Management",1
 Quality improvement,Health,1
 Quality of care improvement,Health,1
 Quality standards adoption,Public Administration,1
 Quarantine facility setup,Health,1
 Railyard construction,Transportation,1
 Real estate documentation,Public Administration,1
 Records digitization,Public Administration,1
 Recovery planning,"Industry, Trade & Services",1
 Recycling capacity expansion,"Water, Sanitation & Waste Management",1
 Recycling infrastructure,"Water, Sanitation & Waste Management",1
 Referral system implementation,Social Protection,1
 Refugee health services,Health,1
 Refugee protection,Public Administration,1
 Regional collaboration strengthening,Public Administration,1
 Regional financing,Financial Sector,1
 Regional hiring support,Education,1
 Regional outreach,"Industry, Trade & Services",1
 Registry digitization,Social Protection,1
 Registry updating,Social Protection,1
 Registry validation,Social Protection,1
 Regulation development,Public Administration,1
 Regulatory enforcement,"Industry, Trade & Services",1
 Regulatory framework development,Transportation,1
 Regulatory framework reform,Social Protection,1
 Regulatory info publishing,Public Administration,1
 Regulatory process simplification,Public Administration,1
 Regulatory reform,Public Administration,1
 Regulatory strengthening,Public Administration,1
 Rehabilitation center construction,Social Protection,1
 Rehabilitation services,Health,1
 Reimbursement policy reform,Health,1
 Reliability improvement,Energy & Extractives,1
 Reliability improvement measures,Energy & Extractives,1
 Reliability monitoring,Energy & Extractives,1
 Remedial education,Education,2
 Remote community outreach,Social Protection,1
 Renewable energy auctions,Public Administration,1
 Renewable energy deployment,Energy & Extractives,1
 Renewable energy development,Public Administration,1
 Renewable energy expansion,"Water, Sanitation & Waste Management",2
 Renewable energy incentives,"Water, Sanitation & Waste Management",1
 Renewable energy installation,Energy & Extractives,1
 Renewable energy integration,Energy & Extractives,1
 Renewable energy investments,Financial Sector,1
 Renewable energy procurement,"Water, Sanitation & Waste Management",1
 Renewable energy promotion,"Water, Sanitation & Waste Management",1
 Renewable grid integration,Energy & Extractives,1
 Renewable integration,Energy & Extractives,1
 Renewable integration planning,Energy & Extractives,1
 Renewable tax incentives,Public Administration,1
 Rental subsidies,Social Protection,1
 Research and development,"Industry, Trade & Services",1
 Research and innovation support,Education,1
 Research capacity building,Education,1
 Research funding,"Industry, Trade & Services",1
 Research grants,Public Administration,1
 Research infrastructure upgrades,"Industry, Trade & Services",1
 Research program support,Education,1
 Researcher training,Public Administration,1
 Reservoir construction,"Water, Sanitation & Waste Management",1
 Resettlement implementation,Energy & Extractives,1
 Resettlement support,Public Administration,1
 Residency program expansion,Health,1
 Resilience upgrades,Health,1
 Results-based financing,Health,1
 Revenue collection enhancement,Public Administration,1
 Revenue collection improvement,Energy & Extractives,1
 Revenue collection improvement,"Water, Sanitation & Waste Management",1
 Revenue mobilization,Public Administration,1
 Revenue policy reform,Public Administration,1
 Revenue protection program,Energy & Extractives,2
 Revenue reform implementation,"Water, Sanitation & Waste Management",1
 Revenue system implementation,Public Administration,1
 Risk assessment,Public Administration,1
 Risk assessments,"Water, Sanitation & Waste Management",1
 Risk capital financing,Financial Sector,1
 Risk communication,Health,1
 Risk communication campaigns,Health,1
 Risk communication planning,Health,1
